physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-RUBIES-UDS-155916,RUBIES-UDS-155916,broad_line_agn,4.098,1e2,0.4175320725407787
HZA-RUBIES-UDS-63139,RUBIES-UDS-63139,broad_line_agn,4.435,1e2,0.4160796806714709
HZA-RUBIES-UDS-143683,RUBIES-UDS-143683,broad_line_agn,4.226,1e2,0.41298031460891477
HZA-RUBIES-UDS-48507,RUBIES-UDS-48507,broad_line_agn,4.468,1e2,0.40907987824545
HZA-GS-200679,GS-200679,broad_line_agn,4.547,1e2,0.39598397974315996
HZA-RUBIES-UDS-30969,RUBIES-UDS-30969,broad_line_agn,4.0,1e2,0.3791892400100287
HZA-GN-11836,GN-11836,broad_line_agn,4.409,1e2,0.36841333364916057
HZA-GLASS-160133,GLASS-160133,broad_line_agn,4.015,1e2,0.35059976882768845
HZA-GNIRS50-J1148-5251,J1148+5251,luminous_quasar_comparison,6.42201,1e4,0.9086664303524933
HZA-XQR30-SDSS-J0100-2802,SDSS J0100+2802,luminous_quasar_comparison,6.3268,1e4,0.9127701880663969
HZA-XQR30-PSO-J231-20,PSO J231-20,luminous_quasar_comparison,6.5869,1e4,0.8763812486968262
HZA-XQR30-DELS-J0923-0402,DELS J0923+0402,luminous_quasar_comparison,6.633,1e4,0.8694392117819705
HZA-XQR30-DELS-J1535-1943,DELS J1535+1943,luminous_quasar_comparison,6.37,1e4,0.8765599404139175
HZA-XQR30-PSO-J036-03,PSO J036+03,luminous_quasar_comparison,6.5405,1e4,0.8531333916522911
HZA-GNIRS50-J0050-3445,J0050+3445,luminous_quasar_comparison,6.24598,1e4,0.8597225557488518
HZA-GNIRS50-J0203-0012,J0203+0012,luminous_quasar_comparison,5.77689,1e4,0.882700543403134
HZA-XQR30-PSO-J183-05,PSO J183+05,luminous_quasar_comparison,6.4386,1e4,0.8305633124225483
HZA-XQR30-VDES-J0224-4711,VDES J0224-4711,luminous_quasar_comparison,6.526,1e4,0.8127597122366741
HZA-XQR30-VST-ATLAS-J025-33,VST-ATLAS J025-33,luminous_quasar_comparison,6.3373,1e4,0.8054864829652717
HZA-GNIRS50-J1148-0702,J1148+0702,luminous_quasar_comparison,6.34412,1e4,0.8017662781791567
HZA-XQR30-PSO-J323-12,PSO J323+12,luminous_quasar_comparison,6.5872,1e4,0.781175049726632
HZA-GNIRS50-J1137-3549,J1137+3549,luminous_quasar_comparison,6.00204,1e4,0.8197936733081074
HZA-XQR30-PSO-J009-10,PSO J009-10,luminous_quasar_comparison,6.004,1e4,0.8183200075233727
HZA-XQR30-VDES-J2211-3206,VDES J2211-3206,luminous_quasar_comparison,6.3394,1e4,0.7953717616243613
HZA-XQR30-PSO-J065-26,PSO J065-26,luminous_quasar_comparison,6.1871,1e4,0.8053573914860744
HZA-GNIRS50-J1609-3041,J1609+3041,luminous_quasar_comparison,6.14192,1e4,0.8074824426591525
HZA-XQR30-PSO-J007-04,PSO J007+04,luminous_quasar_comparison,6.0015,1e4,0.8164440503579538
HZA-GNIRS50-J1623-3112,J1623+3112,luminous_quasar_comparison,6.254,1e4,0.7944884139069882
HZA-GNIRS50-J1207-0630,J1207+0630,luminous_quasar_comparison,6.02793,1e4,0.8096106630297089
HZA-XQR30-SDSS-J1030-0524,SDSS J1030+0524,luminous_quasar_comparison,6.304,1e4,0.7844277403539687
HZA-GNIRS50-P210-27,P210+27,luminous_quasar_comparison,6.16694,1e4,0.7902954147845168
HZA-XQR30-ULAS-J1319-0950,ULAS J1319+0950,luminous_quasar_comparison,6.1347,1e4,0.7912005718432567
HZA-XQR30-SDSS-J0818-1722,SDSS J0818+1722,luminous_quasar_comparison,5.96,1e4,0.7905077575432401
HZA-XQR30-SDSS-J2310-1855,SDSS J2310+1855,luminous_quasar_comparison,6.0031,1e4,0.7862499246647574
HZA-GNIRS50-J2356-0023,J2356+0023,luminous_quasar_comparison,5.99266,1e4,0.7796931305828275
