catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-JADES-NS-GS10058975,HZS-JADES-NS-GS10058975,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-MACS1423-1208-4103248,HZS-MACS1423-1208-4103248,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-MOM-BH-1,HZS-MOM-BH-1,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-NEXUS-OBS3-5105-10835,HZS-NEXUS-OBS3-5105-10835,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-119559,HZS-RUBIES-4233-119559,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-148866,HZS-RUBIES-4233-148866,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-166271,HZS-RUBIES-4233-166271,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-17604,HZS-RUBIES-4233-17604,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-24210,HZS-RUBIES-4233-24210,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-41683,HZS-RUBIES-4233-41683,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-42658,HZS-RUBIES-4233-42658,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-42803,HZS-RUBIES-4233-42803,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-48449,HZS-RUBIES-4233-48449,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-54059,HZS-RUBIES-4233-54059,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-4233-925921,HZS-RUBIES-4233-925921,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-13872,HZS-RUBIES-EGS-13872,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-17146,HZS-RUBIES-EGS-17146,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-28812,HZS-RUBIES-EGS-28812,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-29489,HZS-RUBIES-EGS-29489,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-37124,HZS-RUBIES-EGS-37124,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-42046,HZS-RUBIES-EGS-42046,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-42232,HZS-RUBIES-EGS-42232,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-45599,HZS-RUBIES-EGS-45599,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-46985,HZS-RUBIES-EGS-46985,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-49140,HZS-RUBIES-EGS-49140,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-55604,HZS-RUBIES-EGS-55604,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-RUBIES-EGS-60935,HZS-RUBIES-EGS-60935,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-61496,HZS-RUBIES-EGS-61496,source_verified_single_object_host,object_specific
v3-dataset-catalogue,HZA-RUBIES-EGS-6411,HZS-RUBIES-EGS-6411,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-926125,HZS-RUBIES-EGS-926125,inherited_provisional_one_to_one_no_verified_multinucleus_link,not_published
v3-dataset-catalogue,HZA-RUBIES-EGS-927271,HZS-RUBIES-EGS-927271,source_verified_single_object_host,object_specific
